,LAT,Year,LONG,LC1,LC2,LAND_MNGT,CLASS,Country
27498,45.96511,2012,13.05468,C10,8,2.0,Forest,Italy
27499,46.1091,2012,13.06283,C10,8,2.0,Forest,Italy
27500,43.13701,2012,12.88107,C10,8,2.0,Forest,Italy
27501,43.29935,2012,12.88903,C10,8,2.0,Forest,Italy
27502,43.31738,2012,12.88992,C22,8,2.0,Forest,Italy
27503,46.19908,2012,13.06794,C10,8,2.0,Forest,Italy
27504,46.34305,2012,13.07618,C10,8,2.0,Forest,Italy
27505,46.54098,2012,13.08759,C33,8,2.0,Forest,Italy
27506,45.78437,2012,13.07025,C10,8,2.0,Forest,Italy
27507,45.89237,2012,13.07635,C10,8,2.0,Forest,Italy
27508,37.88897,2012,12.76555,C22,8,2.0,Forest,Italy
27509,37.97965,2012,12.76921,C33,8,2.0,Forest,Italy
27510,43.46166,2012,12.89705,C10,8,2.0,Forest,Italy
27511,43.64198,2012,12.90604,C10,8,2.0,Forest,Italy
27512,46.30631,2012,13.10003,C10,8,2.0,Forest,Italy
27513,41.4193,2012,12.89571,C10,8,2.0,Forest,Italy
27514,41.94239,2012,12.9445,C10,8,2.0,Forest,Italy
27515,41.96044,2012,12.94537,C10,8,2.0,Forest,Italy
27516,42.10489,2012,12.95237,C10,8,2.0,Forest,Italy
27517,42.12294,2012,12.95325,C10,8,2.0,Forest,Italy
27518,42.26736,2012,12.9603,C10,8,2.0,Forest,Italy
27519,42.28541,2012,12.96118,C10,8,2.0,Forest,Italy
27520,45.91185,2012,13.02592,C10,8,2.0,Forest,Italy
27521,46.14583,2012,13.03903,C10,8,2.0,Forest,Italy
27522,42.26807,2012,12.93615,C10,8,2.0,Forest,Italy
27523,42.66442,2012,12.97992,C10,8,2.0,Forest,Italy
27524,43.02525,2012,12.99806,C10,8,2.0,Forest,Italy
27525,43.07937,2012,13.0008,C10,8,2.0,Forest,Italy
27526,43.15152,2012,13.00448,C10,8,2.0,Forest,Italy
27527,46.23581,2012,13.04411,C10,8,2.0,Forest,Italy
27528,46.2898,2012,13.04718,C10,8,2.0,Forest,Italy
27529,46.46975,2012,13.05744,C10,8,2.0,Forest,Italy
27530,46.54172,2012,13.06156,C10,8,2.0,Forest,Italy
27531,42.28612,2012,12.93703,C10,8,2.0,Forest,Italy
27532,42.68317,2012,12.9565,C10,8,2.0,Forest,Italy
27533,42.71926,2012,12.95829,C10,8,2.0,Forest,Italy
27534,42.88165,2012,12.96637,C10,8,2.0,Forest,Italy
27535,43.00793,2012,12.9727,C10,8,2.0,Forest,Italy
27536,43.18759,2012,13.00632,C10,8,2.0,Forest,Italy
27537,43.40401,2012,13.01743,C10,8,2.0,Forest,Italy
27538,43.42204,2012,13.01836,C10,8,2.0,Forest,Italy
27539,43.47614,2012,13.02116,C10,8,2.0,Forest,Italy
27540,43.5122,2012,13.02302,C10,8,2.0,Forest,Italy
27541,43.08008,2012,12.97633,C10,8,2.0,Forest,Italy
27542,43.17027,2012,12.98088,C10,8,2.0,Forest,Italy
27543,43.20635,2012,12.98271,C10,8,2.0,Forest,Italy
27544,43.36866,2012,12.99097,C10,8,2.0,Forest,Italy
27545,43.40473,2012,12.99282,C33,8,2.0,Forest,Italy
27546,46.16007,2012,13.16928,C10,8,2.0,Forest,Italy
27547,41.71173,2012,12.78968,C10,8,2.0,Forest,Italy
27548,41.72979,2012,12.7905,C10,8,2.0,Forest,Italy
27549,46.39399,2012,13.18311,C22,8,2.0,Forest,Italy
27550,42.37982,2012,12.82047,C10,8,2.0,Forest,Italy
27551,46.16083,2012,13.14343,C10,8,2.0,Forest,Italy
27552,46.17883,2012,13.14448,C10,8,2.0,Forest,Italy
27553,42.59641,2012,12.83066,C10,8,2.0,Forest,Italy
27554,42.63251,2012,12.83237,C10,8,2.0,Forest,Italy
27555,42.75883,2012,12.83837,C33,8,2.0,Forest,Italy
27556,42.84905,2012,12.84267,C10,8,2.0,Forest,Italy
27557,46.19682,2012,13.14553,C10,8,2.0,Forest,Italy
27558,42.9573,2012,12.84786,C10,8,2.0,Forest,Italy
27559,43.01142,2012,12.85046,C10,8,2.0,Forest,Italy
27560,43.08358,2012,12.85395,C10,8,2.0,Forest,Italy
27561,43.19182,2012,12.85919,C10,8,2.0,Forest,Italy
27562,43.24593,2012,12.86182,C10,8,2.0,Forest,Italy
27563,41.71038,2012,12.83753,C10,8,2.0,Forest,Italy
27564,41.85487,2012,12.84422,C10,8,2.0,Forest,Italy
27565,41.89099,2012,12.84591,C10,8,2.0,Forest,Italy
27566,42.01601,2012,12.8999,C10,8,2.0,Forest,Italy
27567,42.10629,2012,12.90421,C10,8,2.0,Forest,Italy
27568,42.21461,2012,12.9094,C10,8,2.0,Forest,Italy
27569,42.21599,2012,12.86115,C10,8,2.0,Forest,Italy
27570,42.23405,2012,12.862,C10,8,2.0,Forest,Italy
27571,42.39651,2012,12.86971,C10,8,2.0,Forest,Italy
27572,42.43261,2012,12.87144,C10,8,2.0,Forest,Italy
27573,41.80001,2012,12.86567,C10,8,2.0,Forest,Italy
27574,41.92642,2012,12.8716,C10,8,2.0,Forest,Italy
27575,41.96253,2012,12.8733,C10,8,2.0,Forest,Italy
27576,41.99865,2012,12.875,C10,8,2.0,Forest,Italy
27577,42.59365,2012,12.92777,C10,8,2.0,Forest,Italy
27578,42.86431,2012,12.94108,C10,8,2.0,Forest,Italy
27579,43.0808,2012,12.95185,C10,8,2.0,Forest,Italy
27580,42.5048,2012,12.87489,C10,8,2.0,Forest,Italy
27581,42.55895,2012,12.87748,C10,8,2.0,Forest,Italy
27582,42.70332,2012,12.88443,C10,8,2.0,Forest,Italy
27583,42.79354,2012,12.8888,C10,8,2.0,Forest,Italy
27584,42.32362,2012,12.89045,C10,8,2.0,Forest,Italy
27585,42.44997,2012,12.89652,C10,8,2.0,Forest,Italy
27586,43.31527,2012,12.96364,C10,8,2.0,Forest,Italy
27587,43.35134,2012,12.96546,C10,8,2.0,Forest,Italy
27588,43.40544,2012,12.96821,C22,8,2.0,Forest,Italy
27589,43.56773,2012,12.97647,C10,8,2.0,Forest,Italy
27590,46.20055,2012,13.01621,C10,8,2.0,Forest,Italy
27591,46.23655,2012,13.01823,C10,8,2.0,Forest,Italy
27592,41.76524,2012,12.81609,C10,8,2.0,Forest,Italy
27593,42.9011,2012,12.91847,C10,8,2.0,Forest,Italy
27594,43.17169,2012,12.93186,C10,8,2.0,Forest,Italy
27595,43.2258,2012,12.93456,C10,8,2.0,Forest,Italy
27596,45.65761,2012,13.08878,C22,8,2.0,Forest,Italy
27597,42.90396,2012,13.40743,C10,8,2.0,Forest,Italy
27598,42.94003,2012,13.40951,C10,8,2.0,Forest,Italy
27599,42.99414,2012,13.41262,C10,8,2.0,Forest,Italy
27600,43.15644,2012,13.42202,C10,8,2.0,Forest,Italy
27601,43.33591,2012,13.45711,C10,8,2.0,Forest,Italy
27602,43.55224,2012,13.46994,C10,8,2.0,Forest,Italy
27603,43.57026,2012,13.47102,C10,8,2.0,Forest,Italy
27604,45.98332,2012,13.62349,C10,8,2.0,Forest,Italy
27605,41.60298,2012,13.38275,C10,8,2.0,Forest,Italy
27606,41.76548,2012,13.3917,C10,8,2.0,Forest,Italy
27607,45.78627,2012,13.58465,C10,8,2.0,Forest,Italy
27608,45.82226,2012,13.58702,C10,8,2.0,Forest,Italy
27609,45.94821,2012,13.59534,C10,8,2.0,Forest,Italy
27610,45.9842,2012,13.59773,C10,8,2.0,Forest,Italy
27611,46.16323,2012,13.63558,C10,8,2.0,Forest,Italy
27612,41.89186,2012,13.39871,C10,8,2.0,Forest,Italy
27613,41.92796,2012,13.40072,C10,8,2.0,Forest,Italy
27614,41.96407,2012,13.40273,C10,8,2.0,Forest,Italy
27615,42.01822,2012,13.40576,C33,8,2.0,Forest,Italy
27616,46.12813,2012,13.60733,C10,8,2.0,Forest,Italy
27617,46.14612,2012,13.60853,C10,8,2.0,Forest,Italy
27618,42.37916,2012,13.42612,C10,8,2.0,Forest,Italy
27619,43.02855,2012,13.4636,C10,8,2.0,Forest,Italy
27620,43.11872,2012,13.4689,C10,8,2.0,Forest,Italy
27621,43.19084,2012,13.47315,C23,8,2.0,Forest,Italy
27622,43.60548,2012,13.49786,C10,8,2.0,Forest,Italy
27623,37.62461,2012,13.09247,C22,8,2.0,Forest,Italy
27624,38.11426,2012,13.11464,C10,8,2.0,Forest,Italy
27625,42.90477,2012,13.38304,C10,8,2.0,Forest,Italy
27626,43.06709,2012,13.39232,C10,8,2.0,Forest,Italy
27627,45.80513,2012,13.56016,C32,8,2.0,Forest,Italy
27628,41.51187,2012,13.40165,C10,8,2.0,Forest,Italy
27629,41.62022,2012,13.40763,C10,8,2.0,Forest,Italy
27630,45.82312,2012,13.56134,C10,8,2.0,Forest,Italy
27631,45.85911,2012,13.56369,C10,8,2.0,Forest,Italy
27632,45.8951,2012,13.56605,C10,8,2.0,Forest,Italy
27633,46.129,2012,13.5815,C10,8,2.0,Forest,Italy
27634,42.55876,2012,13.46068,C10,8,2.0,Forest,Italy
27635,42.07559,2012,13.31254,C10,8,2.0,Forest,Italy
27636,42.23803,2012,13.32142,C10,8,2.0,Forest,Italy
27637,42.31022,2012,13.32539,C10,8,2.0,Forest,Italy
27638,42.34631,2012,13.32738,C10,8,2.0,Forest,Italy
27639,46.48877,2012,13.60561,C21,8,2.0,Forest,Italy
27640,42.8113,2012,13.47535,C33,8,2.0,Forest,Italy
27641,42.97362,2012,13.48486,C10,8,2.0,Forest,Italy
27642,38.01909,2012,13.24611,C10,8,2.0,Forest,Italy
27643,38.10974,2012,13.25043,C10,8,2.0,Forest,Italy
27644,41.52912,2012,13.42649,C10,8,2.0,Forest,Italy
27645,42.43653,2012,13.33237,C22,8,2.0,Forest,Italy
27646,42.59892,2012,13.3414,C22,8,2.0,Forest,Italy
27647,42.83344,2012,13.35456,C10,8,2.0,Forest,Italy
27648,42.88755,2012,13.35762,C33,8,2.0,Forest,Italy
27649,43.04987,2012,13.36683,C10,8,2.0,Forest,Italy
27650,38.0395,2012,13.17915,C10,8,2.0,Forest,Italy
27651,43.53253,2012,13.51819,C23,8,2.0,Forest,Italy
27652,41.87217,2012,13.44568,C10,8,2.0,Forest,Italy
27653,43.32035,2012,13.38234,C10,8,2.0,Forest,Italy
27654,37.62314,2012,13.13741,C22,8,2.0,Forest,Italy
27655,41.29675,2012,13.34225,C22,8,2.0,Forest,Italy
27656,41.45931,2012,13.35102,C10,8,2.0,Forest,Italy
27657,45.76565,2012,13.66042,C10,8,2.0,Forest,Italy
